seqname,tax_id
A00004553,g__Vibrio
A00001070,f__[Acetivibrionaceae]
A00004551,g__Yersinia
A00004558,g__Ureaplasma
A00004559,g__Streptococcus
A00002784,g__Streptococcus
A00002787,g__Mesorhizobium
A00002786,g__Staphylococcus
A00002781,g__Lactococcus
A00002780,g__Campylobacter
A00002783,g__Bacillus
A00002782,g__Coprococcus
A00002789,f__Micromonosporaceae
A00002788,g__Streptococcus
A00001788,g__Ureaplasma
A00001789,g__Ureaplasma
A00001780,g__Campylobacter
A00001781,g__Fusobacterium
A00001782,g__Treponema
A00001783,g__Ureaplasma
